rank,frequency,word,speechpart
1,6187267,the,det
2,4239632,be,v
3,3093444,of,prep
4,2687863,and,conj
5,2186369,a,det
6,1924315,in,prep
7,1620850,to,infinitive-marker
8,1375636,have,v
9,1090186,it,pron
10,1039323,to,prep
11,887877,for,prep
12,884599,i,pron
13,760399,that,conj
14,695498,you,pron
15,681255,he,pron
16,680739,on,prep
17,675027,with,prep
18,559596,do,v
19,534162,at,prep
20,517171,by,prep
21,465486,not,adv
22,461945,this,det
23,459622,but,conj
24,434532,from,prep
25,433441,they,pron
26,426896,his,det
27,384313,that,det
28,380257,she,pron
29,373808,or,conj
30,372031,which,det
31,364164,as,conj
32,358039,we,pron
33,343063,an,det
34,333518,say,v
35,297281,will,modal
36,272345,would,modal
37,266116,can,modal
38,261089,if,conj
39,260919,their,det
40,249540,go,v
41,249466,what,det
42,239460,there,pron
43,230737,all,det
44,220940,get,v
45,218258,her,det
46,217268,make,v
47,205432,who,pron
48,201968,as,prep
49,201819,out,adv
50,195426,up,adv
51,191661,see,v
52,185534,know,v
53,183427,time,n
54,179220,take,v
55,173414,them,pron
56,171174,some,det
57,168387,could,modal
58,167324,so,adv
59,165014,him,pron
60,163930,year,n
61,163469,into,prep
62,163081,its,det
63,160652,then,adv
64,153881,think,v
65,152619,my,det
66,151871,come,v
67,147618,than,conj
68,146029,more,adv
69,144554,about,prep
70,143801,now,adv
71,140063,last,a
72,138334,your,det
73,138151,me,pron
74,137026,no,det
75,135185,other,a
76,131417,give,v
77,128517,just,adv
78,128393,should,modal
79,125442,these,det
80,125430,people,n
81,124884,also,adv
82,124451,well,adv
83,123655,any,det
84,122128,only,adv
85,115523,new,a
86,114911,very,adv
87,113655,when,conj
88,113024,may,modal
89,112636,way,n
90,111058,look,v
91,110090,like,prep
92,108820,use,v
93,108710,her,pron
94,108524,such,det
95,103508,how,adv
96,103003,because,conj
97,102621,when,adv
98,101583,as,adv
99,100652,good,a
100,98899,find,v
