rank,word,frequency,speechpart,ismedia
1,xa,2214874,emoji,yes
2,xd,2114966,emoji,yes
3,day,823756,n,yes
4,i'm,811277,contraction,yes
5,time,594051.59,n,yes
6,good,571745.91,a,yes
7,im,509675,spelling,yes
8,it's,488475,contraction,yes
9,happy,479042,a,yes
10,back,429189,adv,yes
11,night,422925,n,yes
12,today,383546,adv,yes
13,:),382013,emoji,yes
14,can't,379633,contraction,yes
15,don't,373248,contraction,yes
16,love,357557.7,v,yes
17,<3,350030,emoji,yes
18,life,346960,n,yes
19,great,333812,a,yes
20,love,323260.25,n,yes
21,people,314584,n,yes
22,tomorrow,292623,adv,yes
23,god,279879,n,yes
24,wait,277958,v,yes
25,days,273844,n,yes
26,school,268912,n,yes
27,gonna,259991,v,yes
28,make,258764.49,v,yes
29,feel,256583.73,v,yes
30,home,256167.45,n,yes
31,friends,250987,n,yes
32,dont,241615,v,yes
33,lol,233610,v,yes
34,week,230598,n,yes
35,things,229447,n,yes
36,birthday,220354,n,yes
37,world,219162,n,yes
38,work,215764.1,v,yes
39,weekend,215179,n,yes
40,man,202208,n,yes
41,hate,200553,v,yes
42,year,198943,n,yes
43,morning,198511,n,yes
44,work,197972.94,n,yes
45,tonight,195176,adv,yes
46,bad,188636,a,yes
47,miss,187358,v,yes
48,finally,185586,adv,yes
49,:d,176486,emoji,yes
50,i'll,175390,contraction,yes
51,family,174946,n,yes
52,tired,173628,a,yes
53,ready,172667,a,yes
54,wanna,172253,v,yes
55,game,167349,n,yes
56,bed,167106,n,yes
57,baby,164199,n,yes
58,thing,163938,n,yes
59,i've,161638,contraction,yes
60,facebook,158569,n,yes
61,christmas,157015,n,yes
62,bored,155087,a,yes
63,sleep,154221.51,v,yes
64,:/,147075,emoji,yes
65,da,145722,det,yes
66,give,145239,v,yes
67,ur,144351,det,yes
68,made,139529,v,yes
69,watching,138298,v,yes
70,sa,138170,spelling,yes
71,fun,136309.774,n,yes
72,feeling,136145,n,yes
73,house,136058.81,n,yes
74,you're,135742,contraction,yes
75,hours,134398,n,yes
76,find,133763,v,yes
77,heart,133706,n,yes
78,awesome,133287,a,yes
79,:(,131806,emoji,yes
80,nice,131107,a,yes
81,friend,130931,n,yes
82,lo,128996,spelling,yes
83,person,128618,n,yes
84,big,128532,a,yes
85,girl,127677,n,yes
86,fuck,124186,v,yes
87,yay,123731,interjection,yes
88,hope,123287.55,v,yes
89,excited,121684,a,yes
90,party,121277,n,yes
91,put,120222,v,yes
92,home,119180.5,adv,yes
93,shit,118899,n,yes
94,friday,117143,n,yes
95,mom,117016,n,yes
96,job,116924,n,yes
97,live,116300.24,v,yes
98,haha,115598,interjection,yes
99,amazing,114488,a,yes
100,status,113408,n,yes
